phen_id,trait_type,phenocode,pheno_sex,coding,modifier,description,category,n_cases_EUR,filename
5322,icd10,W07,both_sexes,,,W07 Fall involving chair,Chapter XX External causes of morbidity and mortality | W00-W19 Falls | W07 Fall involving chair,465.0,icd10-W07-both_sexes.tsv.bgz
5323,icd10,W08,both_sexes,,,W08 Fall involving other furniture,Chapter XX External causes of morbidity and mortality | W00-W19 Falls | W08 Fall involving other furniture,165.0,icd10-W08-both_sexes.tsv.bgz
5324,icd10,W10,both_sexes,,,W10 Fall on and from stairs and steps,Chapter XX External causes of morbidity and mortality | W00-W19 Falls | W10 Fall on and from stairs and steps,3639.0,icd10-W10-both_sexes.tsv.bgz
5325,icd10,W11,both_sexes,,,W11 Fall on and from ladder,Chapter XX External causes of morbidity and mortality | W00-W19 Falls | W11 Fall on and from ladder,1568.0,icd10-W11-both_sexes.tsv.bgz
5326,icd10,W13,both_sexes,,,"W13 Fall from, out of or through building or structure","Chapter XX External causes of morbidity and mortality | W00-W19 Falls | W13 Fall from, out of or through building or structure",362.0,icd10-W13-both_sexes.tsv.bgz
5327,icd10,W17,both_sexes,,,W17 Other fall from one level to another,Chapter XX External causes of morbidity and mortality | W00-W19 Falls | W17 Other fall from one level to another,751.0,icd10-W17-both_sexes.tsv.bgz
5328,icd10,W18,both_sexes,,,W18 Other fall on same level,Chapter XX External causes of morbidity and mortality | W00-W19 Falls | W18 Other fall on same level,2511.0,icd10-W18-both_sexes.tsv.bgz
5329,icd10,W19,both_sexes,,,W19 Unspecified fall,Chapter XX External causes of morbidity and mortality | W00-W19 Falls | W19 Unspecified fall,7145.0,icd10-W19-both_sexes.tsv.bgz
5330,icd10,W20,both_sexes,,,"W20 Struck by thrown, projected or falling object","Chapter XX External causes of morbidity and mortality | W20-W49 Exposure to inanimate mechanical forces | W20 Struck by thrown, projected or falling object",365.0,icd10-W20-both_sexes.tsv.bgz
5331,icd10,W21,both_sexes,,,W21 Striking against or struck by sports equipment,Chapter XX External causes of morbidity and mortality | W20-W49 Exposure to inanimate mechanical forces | W21 Striking against or struck by sports equipment,260.0,icd10-W21-both_sexes.tsv.bgz
5332,icd10,W22,both_sexes,,,W22 Striking against or struck by other objects,Chapter XX External causes of morbidity and mortality | W20-W49 Exposure to inanimate mechanical forces | W22 Striking against or struck by other objects,951.0,icd10-W22-both_sexes.tsv.bgz
5333,icd10,W23,both_sexes,,,"W23 Caught, crushed, jammed or pinched in or between objects","Chapter XX External causes of morbidity and mortality | W20-W49 Exposure to inanimate mechanical forces | W23 Caught, crushed, jammed or pinched in or between objects",958.0,icd10-W23-both_sexes.tsv.bgz
5334,icd10,W25,both_sexes,,,W25 Contact with sharp glass,Chapter XX External causes of morbidity and mortality | W20-W49 Exposure to inanimate mechanical forces | W25 Contact with sharp glass,581.0,icd10-W25-both_sexes.tsv.bgz
5335,icd10,W26,both_sexes,,,"W26 Contact with knife, sword or dagger","Chapter XX External causes of morbidity and mortality | W20-W49 Exposure to inanimate mechanical forces | W26 Contact with knife, sword or dagger",546.0,icd10-W26-both_sexes.tsv.bgz
5336,icd10,W27,both_sexes,,,W27 Contact with nonpowered hand tool,Chapter XX External causes of morbidity and mortality | W20-W49 Exposure to inanimate mechanical forces | W27 Contact with nonpowered hand tool,434.0,icd10-W27-both_sexes.tsv.bgz
5337,icd10,W29,both_sexes,,,W29 Contact with other powered hand tools and household machinery,Chapter XX External causes of morbidity and mortality | W20-W49 Exposure to inanimate mechanical forces | W29 Contact with other powered hand tools and household machinery,559.0,icd10-W29-both_sexes.tsv.bgz
5338,icd10,W31,both_sexes,,,W31 Contact with other and unspecified machinery,Chapter XX External causes of morbidity and mortality | W20-W49 Exposure to inanimate mechanical forces | W31 Contact with other and unspecified machinery,558.0,icd10-W31-both_sexes.tsv.bgz
5339,icd10,W44,both_sexes,,,W44 Foreign body entering into or through eye or natural orifice,Chapter XX External causes of morbidity and mortality | W20-W49 Exposure to inanimate mechanical forces | W44 Foreign body entering into or through eye or natural orifice,681.0,icd10-W44-both_sexes.tsv.bgz
5340,icd10,W45,both_sexes,,,W45 Foreign body or object entering through skin,Chapter XX External causes of morbidity and mortality | W20-W49 Exposure to inanimate mechanical forces | W45 Foreign body or object entering through skin,604.0,icd10-W45-both_sexes.tsv.bgz
5341,icd10,W49,both_sexes,,,W49 Exposure to other and unspecified inanimate mechanical forces,Chapter XX External causes of morbidity and mortality | W20-W49 Exposure to inanimate mechanical forces | W49 Exposure to other and unspecified inanimate mechanical forces,161.0,icd10-W49-both_sexes.tsv.bgz
5342,icd10,W50,both_sexes,,,"W50 Hit, struck, kicked, twisted, bitten or scratched by another person","Chapter XX External causes of morbidity and mortality | W50-W64 Exposure to animate mechanical forces | W50 Hit, struck, kicked, twisted, bitten or scratched by another person",209.0,icd10-W50-both_sexes.tsv.bgz
5343,icd10,W51,both_sexes,,,W51 Striking against or bumped into by another person,Chapter XX External causes of morbidity and mortality | W50-W64 Exposure to animate mechanical forces | W51 Striking against or bumped into by another person,173.0,icd10-W51-both_sexes.tsv.bgz
5344,icd10,W54,both_sexes,,,W54 Bitten or struck by dog,Chapter XX External causes of morbidity and mortality | W50-W64 Exposure to animate mechanical forces | W54 Bitten or struck by dog,682.0,icd10-W54-both_sexes.tsv.bgz
5345,icd10,W55,both_sexes,,,W55 Bitten or struck by other mammals,Chapter XX External causes of morbidity and mortality | W50-W64 Exposure to animate mechanical forces | W55 Bitten or struck by other mammals,440.0,icd10-W55-both_sexes.tsv.bgz
5346,icd10,W57,both_sexes,,,W57 Bitten or stung by non-venomous insect and other non-venomous arthropods,Chapter XX External causes of morbidity and mortality | W50-W64 Exposure to animate mechanical forces | W57 Bitten or stung by non-venomous insect and other non-venomous arthropods,460.0,icd10-W57-both_sexes.tsv.bgz
5347,icd10,W79,both_sexes,,,W79 Inhalation and ingestion of food causing obstruction of respiratory tract,Chapter XX External causes of morbidity and mortality | W75-W84 Other accidental threats to breathing | W79 Inhalation and ingestion of food causing obstruction of respiratory tract,172.0,icd10-W79-both_sexes.tsv.bgz
5348,icd10,X23,both_sexes,,,"X23 Contact with hornets, wasps and bees","Chapter XX External causes of morbidity and mortality | X20-X29 Contact with venomous animals and plants | X23 Contact with hornets, wasps and bees",168.0,icd10-X23-both_sexes.tsv.bgz
5349,icd10,X40,both_sexes,,,"X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics","Chapter XX External causes of morbidity and mortality | X40-X49 Accidental poisoning by and exposure to noxious substances | X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",347.0,icd10-X40-both_sexes.tsv.bgz
5350,icd10,X41,both_sexes,,,"X41 Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, anti-Parkinsonism and psychotropic drugs, not elsewhere classified","Chapter XX External causes of morbidity and mortality | X40-X49 Accidental poisoning by and exposure to noxious substances | X41 Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, anti-Parkinsonism and psychotropic drugs, not elsewhere classified",297.0,icd10-X41-both_sexes.tsv.bgz
5351,icd10,X42,both_sexes,,,"X42 Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","Chapter XX External causes of morbidity and mortality | X40-X49 Accidental poisoning by and exposure to noxious substances | X42 Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",215.0,icd10-X42-both_sexes.tsv.bgz
5352,icd10,X44,both_sexes,,,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","Chapter XX External causes of morbidity and mortality | X40-X49 Accidental poisoning by and exposure to noxious substances | X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",318.0,icd10-X44-both_sexes.tsv.bgz
